,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.351,0.018327351929949883,0.018327351929949883,0.03382332568210015,50,0,0,0,1000,1019282514
1,0.534,0.0073528614079262375,0.0073528614079262375,0.018785096495117302,50,0,0,0,1000,1679872250
2,0.488,0.010725777748956031,0.010725777748956031,0.034227274073709985,50,0,0,0,1000,1837932928
3,0.099,0.0590595455886834,0.0590595455886834,0.034390221816623635,50,0,0,0,1000,1442006727
4,0.852,0.0007675659182708075,0.0007675659182708075,0.03979900032771888,50,0,0,0,1000,221822463
5,0.883,0.000784559775792117,0.000784559775792117,1.8135452677693055e-05,50,0,0,0,1000,509771608
6,0.517,0.00939449606845726,0.00939449606845726,0.016598317627745947,50,0,0,0,1000,1530295774
7,0.062,0.06717726522796345,0.06717726522796345,2.862758555303081e-05,50,0,0,0,1000,385390263
8,0.678,0.004060997101660606,0.004060997101660606,0.04262904688647152,50,0,0,0,1000,1825954996
9,0.602,0.005377372176717828,0.005377372176717828,0.010865082469077811,50,0,0,0,1000,744368653
10,0.898,0.00023888995509499446,0.00023888995509499446,0.0005005859750930639,50,0,0,0,1000,62625325
11,0.354,0.01792139021793403,0.01792139021793403,0.015847402152235943,50,0,0,0,1000,326653715
12,0.327,0.01996422164703785,0.01996422164703785,0.0012883177062840328,50,0,0,0,1000,283920944
13,0.052,0.07193023118209055,0.07193023118209055,0.02700610529730342,50,0,0,0,1000,668789807
14,0.193,0.03754187155439784,0.03754187155439784,0.027392455247411233,50,0,0,0,1000,2027587152
15,0.9,0.00033162326576982874,0.00033162326576982874,0.02703128240103154,50,0,0,0,1000,513262592
16,0.194,0.03614216578380076,0.03614216578380076,0.0453896451279108,50,0,0,0,1000,1975749735
17,0.488,0.010640611394769484,0.010640611394769484,0.028978488865829394,50,0,0,0,1000,1167280423
18,0.604,0.005990781033802808,0.005990781033802808,0.010000510043523753,50,0,0,0,1000,2007660583
19,0.569,0.00737861539609896,0.00737861539609896,0.012555276575888306,50,0,0,0,1000,1970764024
20,0.66,0.004023302397053674,0.004023302397053674,0.000727123759534809,50,0,0,0,1000,63871913
21,0.823,0.0012717633004555482,0.0012717633004555482,0.001468229949827788,50,0,0,0,1000,954051228
22,0.896,0.0003613898517410776,0.0003613898517410776,0.015508074120234788,50,0,0,0,1000,1156649634
23,0.704,0.002783776956737781,0.002783776956737781,0.0026551422955509527,50,0,0,0,1000,1632697641
24,0.741,0.001964894134789524,0.001964894134789524,0.00018353404835965025,50,0,0,0,1000,1572200133
25,0.156,0.036565161506812,0.036565161506812,0.00016671125011625667,50,0,0,0,1000,1235406039
26,0.185,0.03312651027753483,0.03312651027753483,0.006602835515274735,50,0,0,0,1000,1407710297
27,0.268,0.025915571010935303,0.025915571010935303,0.02904205709544708,50,0,0,0,1000,1099262776
28,0.661,0.004085653862213112,0.004085653862213112,0.0024712349948181715,50,0,0,0,1000,92382466
29,0.345,0.02052827255548759,0.02052827255548759,0.0071494013868096725,50,0,0,0,1000,1411240924
30,0.23,0.035288804093722474,0.035288804093722474,0.10771839116978627,50,0,0,0,1000,1772108105
31,0.51,0.008601179979523463,0.008601179979523463,0.0023626801426214266,50,0,0,0,1000,2033087279
32,0.938,0.00025465917077699375,0.00025465917077699375,0.07603253954204041,50,0,0,0,1000,954521694
33,0.79,0.0015156424875688074,0.0015156424875688074,0.0033318658965337533,50,0,0,0,1000,1965599707
34,0.878,0.000438494179752317,0.000438494179752317,0.014706140945466992,50,0,0,0,1000,121509168
35,0.192,0.03709737547863484,0.03709737547863484,0.0029360769879068246,50,0,0,0,1000,1546692160
36,0.211,0.031365636545118786,0.031365636545118786,0.06659584261074313,50,0,0,0,1000,1779326814
37,0.883,0.0005046423978923183,0.0005046423978923183,0.01539409060630426,50,0,0,0,1000,263613230
38,0.504,0.009846036898477508,0.009846036898477508,0.007012605339103578,50,0,0,0,1000,575081790
39,0.591,0.006391317568156043,0.006391317568156043,0.00044528866939351095,50,0,0,0,1000,1952795859
40,0.156,0.040124567966712876,0.040124567966712876,0.05686429598046177,50,0,0,0,1000,1317866667
41,0.559,0.007722463707757003,0.007722463707757003,0.0035603830362969558,50,0,0,0,1000,1531761554
42,0.767,0.001807077514784132,0.001807077514784132,0.0003672666972359395,50,0,0,0,1000,673934066
43,0.026,0.09610621696874473,0.09610621696874473,0.023106572303968023,50,0,0,0,1000,758712243
44,0.023,0.09583365671621202,0.09583365671621202,0.013436348021644116,50,0,0,0,1000,916824962
45,0.89,0.0003994224999066584,0.0003994224999066584,0.001461648097259511,50,0,0,0,1000,475381739
